NAME,company,year,Price,kms_driven,fuel_type
Renault Duster,Renault,2014,449999,50000,Diesel
Mahindra Scorpio S4,Mahindra,2015,865000,30000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000,3600,Diesel
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000,38000,Diesel
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000,45863,Diesel
Toyota Etios GD,Toyota,2013,350000,60000,Diesel
Ford Figo Diesel EXI Option,Ford,2012,210000,35000,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,135000,45000,Diesel
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000,38000,Diesel
Hyundai Verna Fluidic New,Hyundai,2015,525000,35000,Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000,44000,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2013,485000,42000,Diesel
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000,49000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Ford Figo Diesel EXI,Ford,2014,195000,50000,Diesel
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Dzire VDI,Maruti,2015,450000,104000,Diesel
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000,33333,Diesel
Honda Amaze 1.5 S i DTEC,Honda,2013,299000,45000,Diesel
Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000,24330,Diesel
Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999,99000,Diesel
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999,46000,Diesel
Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
Renault Duster,Renault,2014,449999,50000,Diesel
Renault Duster,Renault,2013,399999,41000,Diesel
Renault Duster,Renault,2014,474999,50000,Diesel
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999,66000,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,189500,38500,Diesel
Fiat Punto Emotion 1.2,Fiat,2012,169500,37200,Diesel
Maruti Suzuki Swift RS VDI,Maruti,2010,159500,43200,Diesel
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000,60000,Diesel
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000,40000,Diesel
Chevrolet Beat LS Diesel,Chevrolet,2011,145000,45000,Diesel
Chevrolet Beat LT Diesel,Chevrolet,2012,98500,38000,Diesel
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000,50000,Diesel
Tata Indigo CS,Tata,2011,85000,11400,Diesel
Maruti Suzuki Swift VDi,Maruti,2011,209000,47000,Diesel
Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
Ford Fiesta,Ford,2011,274999,55000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2015,599999,30000,Diesel
Honda City,Honda,2014,544999,45000,Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000,62000,Diesel
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000,73000,Diesel
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000,65000,Diesel
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000,97000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
Toyota Etios,Toyota,2011,275000,36000,Diesel
Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
Honda City VX O MT Diesel,Honda,2016,519000,52000,Diesel
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000,29000,Diesel
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000,47000,Diesel
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000,20000,Diesel
Land Rover Freelander 2 SE,Land,2015,2100000,30000,Diesel
Tata Aria Pleasure 4X2,Tata,2014,390000,35000,Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175400,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Honda City,Honda,2015,599999,39000,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000,37000,Diesel
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Honda Amaze,Honda,2013,284999,46000,Diesel
Tata Sumo Gold Select Variant,Tata,2013,300000,50000,Diesel
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000,55000,Diesel
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500,36200,Diesel
Ford Figo Diesel EXI,Ford,2014,195000,50000,Diesel
Maruti Suzuki Ritz LDi,Maruti,2013,399999,33000,Diesel
Nissan Terrano XL D Plus,Nissan,2015,499999,60000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2013,489999,27000,Diesel
Renault Duster 85 PS RxE Diesel,Renault,2014,489999,59000,Diesel
Renault Duster 85 PS RxL Diesel,Renault,2015,549999,19000,Diesel
Renault Lodgy 85 PS RXL,Renault,2018,689999,20000,Diesel
Renault Scala RxL Diesel,Renault,2014,349999,49000,Diesel
Tata Indigo eCS LX TDI BS III,Tata,2016,320000,175430,Diesel
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000,38000,Diesel
Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500,38200,Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000,30000,Diesel
Mahindra TUV300 T4 Plus,Mahindra,2016,675000,9000,Diesel
Tata Indigo CS LS DiCOR,Tata,2009,72500,46000,Diesel
Mahindra Scorpio VLX Special Edition BS III,Mahindra,2004,230000,160000,Diesel
Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
Ford EcoSport Titanium 1.5 TDCi,Ford,2014,520000,57000,Diesel
Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
Mahindra Scorpio 2.6 CRDe,Mahindra,2007,220000,170000,Diesel
Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
Skoda Laura,Skoda,2012,349999,44000,Diesel
Renault Duster,Renault,2015,449999,49000,Diesel
Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
Maruti Suzuki Vitara Brezza,Maruti,2016,689999,29000,Diesel
Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
Skoda Laura,Skoda,2013,374999,50000,Diesel
Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
Tata Manza Aura Quadrajet,Tata,2012,130000,72000,Diesel
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000,38000,Diesel
Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,401000,45000,Diesel
Audi A4 2.0 TDI 177bhp Premium,Audi,2012,1350000,40000,Diesel
Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,610000,35000,Diesel
Mahindra KUV100 K8 D 6 STR,Mahindra,2016,400000,20000,Diesel
Renault Scala RxL Diesel Travelogue,Renault,2015,375000,25000,Diesel
Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel
Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
Hyundai Verna,Hyundai,2014,489999,44000,Diesel
Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
Mahindra Bolero Power Plus SLE,Mahindra,2018,699000,1800,Diesel
Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000,60,Diesel
Renault Duster 110PS Diesel RxZ,Renault,2012,501000,35000,Diesel
Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
Tata Indigo eCS VX CR4 BS IV,Tata,2014,250000,40000,Diesel
Mahindra Bolero SLE BS IV,Mahindra,2013,330000,80200,Diesel
Force Motors Force One LX ABS 7 STR,Force,2015,580000,3200,Diesel
Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,340000,48000,Diesel
Tata Vista Quadrajet VX,Tata,2011,120000,90000,Diesel
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2019,379000,0,Diesel
Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,350000,166000,Diesel
Mahindra Jeep CL550 MDI,Mahindra,2018,385000,588,Diesel
Mahindra Jeep MM 550 XDB,Mahindra,2006,425000,122,Diesel
Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,770000,0,Diesel
Toyota Etios,Toyota,2011,275000,36000,Diesel
Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,450000,20000,Diesel
Tata Indigo LX TDI BS III,Tata,2016,130000,104000,Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
Maruti Suzuki Ertiga VDi,Maruti,2013,450000,90000,Diesel
Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,190000,36469,Diesel
Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,245000,65000,Diesel
Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,165000,65000,Diesel
Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,280000,59910,Diesel
