NAME,company,year,Price,kms_driven,fuel_type
BMW 3 Series 320i,BMW,2011,600000,60500,Petrol
Maruti Suzuki A Star Lxi,Maruti,2011,189500,12500,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000,35000,Petrol
BMW 7 Series 740Li Sedan,BMW,2009,1600000,35000,Petrol
Hyundai i10 Magna 1.2,Hyundai,2014,265000,18000,Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000,29000,Petrol
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000,29000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000,14000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,325000,42000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000,13349,Petrol
Toyota Etios Liva G,Toyota,2014,270000,55000,Petrol
Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000,5600,Petrol
Nissan Micra XV,Nissan,2011,179000,41000,Petrol
Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
Maruti Suzuki Alto 800,Maruti,2018,200000,7500,Petrol
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000,38000,Petrol
Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
Honda City 1.5 V MT,Honda,2010,285000,35000,Petrol
Hyundai i20 Asta 1.2,Hyundai,2009,210000,65480,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000,41000,Petrol
Tata Indica V2 eLS,Tata,2006,90000,20000,Petrol
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999,70000,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2012,349999,59000,Petrol
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999,2800,Petrol
Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Nissan Sunny,Nissan,2012,224999,45000,Petrol
Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
Renault Kwid,Renault,2016,244999,11000,Petrol
Ford EcoSport,Ford,2017,489999,39000,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000,3000,Petrol
Chevrolet Spark LT 1.0,Chevrolet,2010,85000,45000,Petrol
Datsun Redi GO T O,Datsun,2016,245000,7000,Petrol
Toyota Etios GD,Toyota,2013,275000,24800,Petrol
Hyundai i10 Sportz 1.2,Hyundai,2010,168000,45872,Petrol
Toyota Corolla Altis 1.8 J,Toyota,2015,575000,42000,Petrol
Honda City 1.5 V MT,Honda,2014,549000,39000,Petrol
Hyundai Eon Era Plus,Hyundai,2013,185000,27000,Petrol
Honda Brio,Honda,2012,224999,30000,Petrol
Maruti Suzuki Wagon R,Maruti,2012,199999,44000,Petrol
Hyundai i20,Hyundai,2009,199000,31000,Petrol
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Hyundai Santro Xing XS,Hyundai,2005,49000,7500,Petrol
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000,3350,Petrol
Maruti Suzuki Zen VX,Maruti,2000,55000,60000,Petrol
Honda City,Honda,2015,448999,54000,Petrol
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000,32000,Petrol
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000,41000,Petrol
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000,35000,Petrol
Tata Nano Cx BSIV,Tata,2013,40000,2200,Petrol
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000,39000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000,45000,Petrol
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000,45000,Petrol
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000,54870,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000,34580,Petrol
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Honda City ZX VTEC,Honda,2008,110000,45000,Petrol
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000,71200,Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
Renault Kwid RXT,Renault,2017,340000,5000,Petrol
Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000,31000,Petrol
Datsun GO T O,Datsun,2016,245000,7000,Petrol
Honda Jazz VX MT,Honda,2016,450000,41000,Petrol
Honda Amaze 1.2 S i VTEC,Honda,2014,311000,33000,Petrol
Honda City,Honda,2012,399999,45000,Petrol
Honda Amaze,Honda,2015,344999,22000,Petrol
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000,47000,Petrol
Mini Cooper S,Mini,2013,1891111,13000,Petrol
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000,14000,Petrol
Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000,45000,Petrol
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000,45000,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000,9300,Petrol
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz VXI,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999,22000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13500,Petrol
Maruti Suzuki Dzire ZXI,Maruti,2013,380000,30000,Petrol
Renault Kwid RXT Opt,Renault,2018,325000,15000,Petrol
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000,56758,Petrol
Renault Kwid 1.0 RXT AMT,Renault,2018,349999,10000,Petrol
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000,41000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000,45000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,120000,43000,Petrol
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000,56450,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2010,80000,56000,Petrol
Fiat Petra ELX 1.2 PS,Fiat,2008,75000,65000,Petrol
Chevrolet Beat LS Petrol,Chevrolet,2015,220000,32700,Petrol
Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Mini Cooper S 1.6,Mini,2013,1891111,13000,Petrol
Tata Indica V2 Xeta e GLE,Tata,2008,150000,11000,Petrol
Mini Cooper S,Mini,2013,1891111,13000,Petrol
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2019,610000,73,Petrol
Honda Accord,Honda,2009,175000,58559,Petrol
Honda Amaze,Honda,2014,299999,37000,Petrol
Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
Honda City,Honda,2011,284999,55000,Petrol
Honda City,Honda,2015,644999,39000,Petrol
Honda Mobilio,Honda,2014,399999,44000,Petrol
Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
Honda City,Honda,2014,584999,39000,Petrol
Maruti Suzuki Wagon R,Maruti,2016,344999,15000,Petrol
Honda Amaze,Honda,2014,274999,35000,Petrol
Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,210000,60000,Petrol
Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000,20000,Petrol
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000,18000,Petrol
Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
Hyundai i20,Hyundai,2014,449999,23000,Petrol
Hyundai Eon,Hyundai,2014,174999,14000,Petrol
Hyundai i10,Hyundai,2012,244999,38000,Petrol
Datsun Redi GO,Datsun,2017,244999,22000,Petrol
Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
Hyundai Accent,Hyundai,2010,99999,45000,Petrol
Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
Honda City 1.5 V MT Exclusive,Honda,2010,240000,400000,Petrol
Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,110000,44000,Petrol
Maruti Suzuki Alto K10 VXi AT,Maruti,2015,265000,12000,Petrol
Maruti Suzuki Zen LXi BS III,Maruti,2003,85000,69900,Petrol
Hyundai i10 Magna 1.2,Hyundai,2011,175000,45000,Petrol
Maruti Suzuki Alto 800,Maruti,2015,219000,5000,Petrol
Honda City ZX EXi,Honda,2008,149000,42000,Petrol
Honda City 1.5 S MT,Honda,2010,225000,70000,Petrol
Hyundai Verna 1.4 VTVT,Hyundai,2014,375000,36000,Petrol
Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,30000,55000,Petrol
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,225000,40000,Petrol
Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,80000,50000,Petrol
Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,399000,41000,Petrol
Honda City,Honda,2000,65000,80000,Petrol
Hyundai Santro Xing GLS,Hyundai,2006,75000,46000,Petrol
Maruti Suzuki Omni Limited Edition,Maruti,2001,70000,70000,Petrol
Hyundai Elite i20 Sportz 1.2,Hyundai,2018,600000,7800,Petrol
Maruti Suzuki Alto 800 Lxi,Maruti,2017,240000,60000,Petrol
Maruti Suzuki Alto LXi BS III,Maruti,2011,155000,32000,Petrol
Honda Jazz S MT,Honda,2009,169999,24695,Petrol
Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,450000,15141,Petrol
Maruti Suzuki Zen LXi BSII,Maruti,2001,40000,40000,Petrol
Maruti Suzuki Alto K10 VXi,Maruti,2014,270000,22000,Petrol
